Rank,Name,Country,Sales,Profit,Assets,Market_value
1,ICBC,China,19050.0,4580.0,491470.0,24950.0
2,JPMorgan Chase,United States,13619.999999999998,4040.0,368930.0,46480.0
3,Berkshire Hathaway,United States,24550.0,4250.0,87370.0,62440.0
4,China Construction Bank,China,17350.0,3929.9999999999995,430170.0,21040.0
5,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,22970.0,4930.0,51030.0,189720.0
6,Apple,United States,29400.0,6390.0,35410.0,225230.00000000003
6,Bank of America,United States,9880.0,1789.9999999999998,283220.0,33630.0
6,Ping An Insurance Group,China,16910.0,2080.0,145380.0,21120.0
9,Agricultural Bank of China,China,15390.0,3130.0,415989.99999999994,14010.0
10,Amazon,United States,38610.0,2130.0,32120.0,171180.0
11,Samsung Electronics,South Korea,20070.0,2210.0,34820.0,51050.0
12,Toyota Motor,Japan,24940.0,1430.0,56190.0,21920.0
13,Alphabet,United States,18240.0,4029.9999999999995,31960.000000000004,153890.0
14,Bank of China,China,13400.0,2790.0,373140.0,11670.0
15,Microsoft,United States,15330.000000000002,5130.0,30410.000000000004,196660.0
16,Citigroup,United States,8440.0,1710.0000000000002,231430.00000000003,15119.999999999998
17,Volkswagen Group,Germany,25410.0,950.0,64640.0,14719.999999999998
18,Walmart,United States,55920.00000000001,1350.0,25250.0,39610.0
19,Wells Fargo,United States,8590.0,740.0,195950.0,18150.0
20,Verizon Communications,United States,12830.000000000002,1780.0,31650.0,24130.0
21,UnitedHealth Group,United States,26289.999999999996,1689.9999999999998,20520.0,36960.0
22,China Merchants Bank,China,6040.0,1410.0,127850.0,19280.0
23,Alibaba Group,China,9380.0,2330.0,25010.0,65750.0
24,Allianz,Germany,12990.0,780.0,135750.0,10800.0
25,Comcast,United States,10360.0,1050.0,27389.999999999996,25240.0
26,Goldman Sachs Group,United States,6180.0,1510.0,130200.0,11650.0
27,Softbank,Japan,7030.0,1490.0,36670.0,16310.0
28,Postal Savings Bank Of China (PSBC),China,6720.0,930.0000000000001,173620.0,11240.0
29,Tencent Holdings,China,7000.0,2330.0,20390.0,77380.0
30,BNP Paribas,France,10270.0,760.0,304480.0,7909.999999999999
31,Morgan Stanley,United States,5670.0,1340.0,115880.0,12390.0
32,China Mobile,Hong Kong,11130.0,1560.0,26420.0,13490.0
33,Facebook,United States,8600.0,2910.0,15930.000000000002,87050.0
34,Johnson & Johnson,United States,8260.0,1470.0,17490.0,42710.0
35,Sony,Japan,7990.000000000001,1010.0,25070.0,13730.000000000002
36,Intel,United States,7790.000000000001,2090.0,15310.0,26370.0
37,CVS Health,United States,26870.0,720.0,23850.0,9960.0
38,RBC,Canada,4290.0,880.0000000000001,130820.0,13500.0
39,Nestlé,Switzerland,8990.0,1300.0,14030.000000000002,33320.0
40,HSBC Holdings,United Kingdom,6060.0,400.0,298420.0,12030.0
41,Daimler,Germany,17590.0,409.99999999999994,34960.0,9920.0
42,TD Bank Group,Canada,3879.9999999999995,910.0,135860.0,12060.0
43,Nippon Telegraph & Tel,Japan,11030.0,830.0000000000001,23110.0,9670.0
44,Deutsche Telekom,Germany,11510.0,470.0,34540.0,9160.0
45,General Electric,United States,7990.000000000001,560.0,25510.0,11760.0
46,Procter & Gamble,United States,7400.0,1380.0,12010.0,33800.0
47,General Motors,United States,12250.0,640.0,23520.0,8460.0
48,Sinopec,China,27110.000000000004,480.0,26510.000000000004,8260.0
49,China Life Insurance,China,11380.0,730.0,65190.0,5730.0
50,Industrial Bank,China,5380.0,969.9999999999999,120720.0,6650.0
51,Sberbank,Russia,4730.0,1040.0,48690.0,8570.0
52,Mitsubishi UFJ Financial,Japan,5600.0,520.0,340650.0,6970.0
53,Cigna,United States,16060.0,850.0,15150.0,8770.0
54,AXA Group,France,12950.0,340.0,95150.0,6780.0
55,AIA Group,Hong Kong,4260.0,580.0,32160.000000000004,15369.999999999998
55,Reliance Industries,India,6120.0,570.0,16630.0,16490.0
57,Bank of Communications,China,6759.999999999999,1110.0,163580.0,4790.0
58,Pfizer,United States,4760.0,960.0,15419.999999999998,21520.0
